county,year,population,source,rate
Columbia,1969,4500,Intercensal Estimate,-0.04255319148936165
Cowlitz,1969,69000,Intercensal Estimate,0.011730205278592365
Douglas,1969,16600,Intercensal Estimate,0.0
Ferry,1969,3600,Intercensal Estimate,-0.052631578947368474
Franklin,1969,26100,Intercensal Estimate,0.01953125
Garfield,1969,2800,Intercensal Estimate,-0.03448275862068961
Grant,1969,40000,Intercensal Estimate,-0.06759906759906764
Grays Harbor,1969,59200,Intercensal Estimate,-0.001686340640809414
Island,1969,25700,Intercensal Estimate,0.028000000000000025
Jefferson,1969,10200,Intercensal Estimate,-0.04672897196261683
King,1969,1161000,Intercensal Estimate,0.009565217391304337
Kitsap,1969,103000,Intercensal Estimate,0.07068607068607058
Kittitas,1969,24700,Intercensal Estimate,0.004065040650406582
Klickitat,1969,12500,Intercensal Estimate,-0.007936507936507908
Lewis,1969,45700,Intercensal Estimate,0.008830022075055233
Lincoln,1969,9700,Intercensal Estimate,-0.030000000000000027
Mason,1969,20200,Intercensal Estimate,0.030612244897959107
Okanogan,1969,25100,Intercensal Estimate,-0.01953125
Pacific,1969,15300,Intercensal Estimate,0.03378378378378377
Pend Oreille,1969,6000,Intercensal Estimate,0.0
Pierce,1969,412000,Intercensal Estimate,0.03491585028887223
San Juan,1969,3600,Intercensal Estimate,0.0
Skagit,1969,52000,Intercensal Estimate,-0.011406844106463865
Skamania,1969,5700,Intercensal Estimate,0.0
Snohomish,1969,267000,Intercensal Estimate,0.07228915662650603
Spokane,1969,280000,Intercensal Estimate,0.013391241404270726
Stevens,1969,17400,Intercensal Estimate,-0.011363636363636354
Thurston,1969,76500,Intercensal Estimate,0.04938271604938271
Wahkiakum,1969,3400,Intercensal Estimate,0.030303030303030276
Walla Walla,1969,41000,Intercensal Estimate,-0.007263922518159771
Whatcom,1969,82000,Intercensal Estimate,0.009852216748768461
Whitman,1969,37000,Intercensal Estimate,-0.008042895442359255
Yakima,1969,143700,Intercensal Estimate,-0.012371134020618513
Adams,1970,12014,Census Count,0.05385964912280694
Asotin,1970,13799,Census Count,0.02214814814814825
Benton,1970,67540,Census Count,0.023333333333333428
Chelan,1970,41103,Census Count,0.01992555831265519
Clallam,1970,34770,Census Count,0.004913294797687762
Clark,1970,128454,Census Count,-0.0042325581395349365
Columbia,1970,4439,Census Count,-0.013555555555555543
Cowlitz,1970,68616,Census Count,-0.0055652173913043335
Douglas,1970,16787,Census Count,0.011265060240963853
Ferry,1970,3655,Census Count,0.015277777777777724
Franklin,1970,25816,Census Count,-0.010881226053639836
Garfield,1970,2911,Census Count,0.03964285714285709
Grant,1970,41881,Census Count,0.047025000000000095
Grays Harbor,1970,59553,Census Count,0.005962837837837798
Island,1970,27011,Census Count,0.051011673151750925
Jefferson,1970,10661,Census Count,0.04519607843137252
King,1970,1159375,Census Count,-0.001399655469422889
Kitsap,1970,101732,Census Count,-0.012310679611650444
Kittitas,1970,25039,Census Count,0.013724696356275379
Klickitat,1970,12138,Census Count,-0.028959999999999986
Lewis,1970,45467,Census Count,-0.005098468271334755
Lincoln,1970,9572,Census Count,-0.013195876288659814
Mason,1970,20918,Census Count,0.035544554455445576
Okanogan,1970,25867,Census Count,0.03055776892430284
Pacific,1970,15796,Census Count,0.032418300653594745
Pend Oreille,1970,6025,Census Count,0.004166666666666652
Pierce,1970,412344,Census Count,0.0008349514563106286
San Juan,1970,3856,Census Count,0.07111111111111112
Skagit,1970,52381,Census Count,0.007326923076923064
Skamania,1970,5845,Census Count,0.025438596491228038
